ProductID,class_id
15744,1
19277,1
19346,1
19364,1
19425,1
19739,2
20233,1
203174,2
203286,1
206014,1
206039,2
209457,1
210445,1
214144,1
216510,2
217968,1
219182,1
219205,1
219216,3
221993,1
223810,1
230078,1
232325,2
235171,2
235191,1
235613,2
235848,1
244939,1
244940,2
244943,1
244944,1
245129,2
246011,2
247428,2
247545,1
248353,1
249187,1
250377,2
253087,3
253555,1
254268,1
255125,1
255424,1
256230,3
257959,1
258458,1
258716,2
261293,1
261500,2
262609,1
262633,2
262732,1
263989,2
263993,1
264124,1
270359,2
270370,1
271852,1
272225,3
272466,2
273474,3
279638,3
279640,3
283333,1
283886,3
283974,2
283991,1
284144,3
284269,4
295527,3
295925,1
307827,1
307937,3
308071,1
308336,1
318854,1
323093,1
323094,2
323126,2
334933,2
340492,1
344746,3
346388,1
346694,2
346695,2
346771,3
346773,3
352288,1
352311,1
352313,2
352316,2
353354,1
353356,1
354109,1
359347,1
359367,2
359375,3
370795,1
371030,1
372102,1
372105,2
372107,3
372114,1
372115,1
372239,1
375897,1
375909,1
375911,2
375912,1
375915,2
383808,1
390919,1
390922,1
393427,1
407246,1
407253,2
411334,1
411808,1
411812,1
411813,1
411814,1
412794,1
412795,1
412813,1
413282,2
413284,2
416163,1
417575,1
417923,1
417931,1
425322,1
426000,2
429716,1
429723,1
429725,1
429726,1
429914,1
429930,1
429936,2
429940,2
430025,1
430028,1
430031,1
430034,1
430036,1
430054,1
430055,1
430056,1
430070,1
430071,1
430072,1
430073,1
430076,1
430077,1
430082,1
430084,1
430087,1
430089,1
430090,1
430092,1
430094,1
430096,1
430097,1
430111,2
430114,2
430116,2
430117,2
430119,2
430120,2
430121,2
430123,2
430125,2
430126,2
430127,2
430128,2
430129,2
430130,2
430131,2
430132,2
430133,2
430134,2
430135,2
430136,2
430137,2
430138,2
430139,2
430140,2
430141,2
430142,2
430209,1
430210,1
430211,1
430214,2
430215,2
430217,2
430221,1
430222,1
430223,1
430225,2
430226,2
430227,2
430265,1
430266,1
430267,1
430269,2
430271,2
430273,2
433629,1
433632,1
433634,1
433635,1
433636,1
433639,1
433641,1
433643,1
433645,1
434519,1
434521,1
434527,1
434529,1
434537,1
434543,1
434545,1
434554,1
434555,1
434556,1
434580,1
434582,1
434585,1
434586,1
434587,1
434590,1
434591,1
434592,1
434593,1
434595,1
434598,1
434599,1
434600,1
434602,1
435189,1
435192,1
435194,1
435199,1
435211,1
435219,1
435363,1
435372,1
435373,1
435374,1
435375,1
435376,1
435378,1
435379,1
435384,1
435387,1
435389,1
435390,1
435391,1
435392,1
435395,1
435396,1
435398,1
435399,1
435400,1
435401,1
435402,1
435403,1
435404,1
435497,1
435500,1
435501,1
435502,1
435505,1
435509,1
435510,1
435511,1
435512,1
435519,1
435522,1
435523,1
435524,1
435526,1
435528,1
435529,1
435530,1
435531,1
435532,1
435534,1
435536,1
439267,1
439268,1
439269,1
439271,1
439272,1
439274,1
439275,1
439276,1
439277,1
439279,1
439280,1
439281,1
439284,1
439286,1
439289,1
439291,1
439294,1
439295,1
439296,1
439298,1
439299,1
439300,1
439301,1
439304,1
439305,1
439306,1
439312,1
439313,1
439314,1
439315,1
439317,1
439329,1
439331,1
439332,1
439334,1
439336,1
439338,1
439339,1
439342,1
439343,1
439344,1
439345,1
439346,1
439348,1
439349,1
439351,1
439352,1
439353,1
439354,1
439356,1
439357,1
440290,1
440293,1
440301,1
440304,1
440306,1
440308,1
440309,1
440310,1
440312,1
440315,1
440316,1
440317,1
440319,1
440321,1
440324,1
440326,1
440327,1
440336,1
440341,1
440343,1
440344,1
441442,1
441443,1
441444,1
441445,1
441447,1
441448,1
441449,1
441451,1
441453,1
441454,1
441455,1
442020,1
442024,1
442028,1
442030,1
442031,1
442032,1
442036,1
442037,1
442038,1
442040,1
442041,1
442042,1
442043,1
442044,1
442045,1
442046,1
442047,1
442048,1
442049,1
442051,1
442052,1
442053,1
442054,1
442055,1
442057,1
442058,1
442065,1
442067,1
442068,1
442069,1
442078,1
442079,1
442081,1
442083,1
442084,1
442085,1
442086,1
442088,1
442089,1
442090,1
442091,1
442682,1
442689,1
442699,1
442703,1
442711,1
