ProductID,Hanging Method
100009,
1014,
10272,Chain Hung
10303,Stem Hung
10350,Chain Hung
10468,
10499,
10779,
11149,
1225,
1229,
1233,
1286,
13175,
13183,
13192,
13235,
13244,
13248,
13254,
13263,
13270,Cord Hung
14105,
14109,
14115,
1417,
1434,
1439,
1486,
1498,
1504,
15084,
1509,
15092,
1513,
1519,
15200,
15219,
1522,
15238,
15278,
15281,
1531,
15367,
15509,
15518,
15525,
15698,
15702,
15732,
15744,Cable Hung
1579,
1584,
1618,
1733,
1738,
17748,
1813,
1823,
18563,
18631,
18636,
18639,
18642,
18645,
18649,
19199,
19201,
19203,
19206,
19277,Chain Hung
19323,
19346,Chain Hung
19364,Chain Hung
19425,Chain Hung
19559,
19562,
19573,
19575,
19613,
19645,
19648,Stem Hung
19650,
19729,Chain Hung
19739,Chain Hung
19846,
19850,
19852,
19856,
19862,
19864,
19898,
19900,
19939,
19983,
200096,
200124,
20022,
20024,
200283,Cord Hung
200588,
200695,
200734,Stem Hung
200885,
200905,
200908,
200909,Stem Hung
200910,Chain Hung
201142,
20118,Chain Hung
201228,
20123,Chain Hung
201248,
201301,
20137,
201586,
201656,Chain Hung
201676,
201677,
201748,
20177,
20184,
20197,
20204,
202087,
20209,
202093,
20212,
20219,
20221,
20229,
20233,Chain Hung
20236,Stem Hung
20237,
20240,
20241,
20248,
202494,
20261,
202857,
20287,
20291,
20294,
20302,
20304,
20309,
20313,
20315,
20317,
203174,Chain Hung
203175,
203177,
20320,
20321,
203276,
203286,Chain Hung
20333,
20335,
20350,
20365,
20370,
203858,
20387,
203895,
20407,
204080,
20412,
20414,
20418,
204259,
20434,
204384,
20439,
20448,
20453,
20455,
20457,
20465,Chain Hung
20467,Chain Hung
204689,
20469,
204709,Chain Hung
204716,Chain Hung
20473,
20475,
20477,
20487,
20490,
20492,
20495,
20497,
20500,
20504,
205109,
205160,
205161,
205218,Stem Hung
20523,
205359,
205833,
206014,Chain Hung
206039,Chain Hung
206040,
206253,
206346,
206358,
206583,
206742,Stem Hung
207381,
20780,
20806,
20808,
20817,
20821,
20824,
208390,
20849,
208494,
20855,
208681,Chain Hung
20872,
20874,
20877,
208815,
20891,
208958,Cable Hung
209003,
209018,
209457,Chain Hung
20946,
20949,
20953,
20965,
209793,
209836,
210208,
210218,
210240,Chain Hung
210323,Chain Hung
210445,Chain Hung
210503,
210592,
21076,
210772,
211235,
211297,
211310,Chain Hung
211457,
211501,
211625,
211665,
211667,
211670,
211940,Cord Hung
212127,
212456,
213180,
21345,
213502,
213508,
21351,
21361,
213664,
214054,
214144,Chain Hung
214152,
214247,
214371,
214499,
214551,
214553,
214554,
214555,
214642,
214645,
214842,
214845,
214850,
214853,
214859,
214862,
214984,
214993,
215114,
215195,
215387,
215793,
215794,Stem Hung
215879,
216113,
216332,
216510,Chain Hung
216629,
216821,
217178,
217424,
217685,
217769,Stem Hung
217792,
217968,Chain Hung
217993,
218444,Stem Hung
218898,
218924,
219152,
219182,Chain Hung
219191,
219205,Chain Hung
219207,Stem Hung
219211,
219213,
219216,Chain Hung
219649,
219653,
219654,
219657,
220240,
220638,
220773,
220795,
220797,
22084,
220874,
221,
22107,
22126,
22155,
22187,
221930,
22197,
221993,Chain Hung
222201,
222297,
22255,
222674,
22279,
22285,
222919,
22318,
22330,
22349,
223647,
223810,Chain Hung
223989,
22405,
22409,
22442,
225349,
22565,
22587,
226004,
226013,Stem Hung
226161,
226324,
226493,
226591,
22665,
226691,
226760,
226771,
226773,
22686,
22689,
227074,
22710,
22713,
227145,
227284,
22746,
227681,
22770,
227718,
228032,Stem Hung
22845,
22846,
22848,
22849,
22850,
22851,
22852,
22853,
22854,
228540,
22855,
22856,
22857,
22858,
22859,
22860,
22863,
22864,
22865,
22866,
22867,
22868,
22869,
22872,
22874,
22875,
22876,
22877,
22878,
22882,
22883,
22884,
22885,
22888,
22890,
22892,
22893,
22894,
22895,
228955,
22896,
22897,
22898,
228989,
22899,
228991,
228992,
228993,
22900,
22901,
22902,
22904,
22905,
22906,
22907,
22908,
22909,
22910,
229103,
22911,
22912,
22914,
22915,
22916,
22917,
22918,
22919,
22920,
22921,
22922,
22923,
22924,
22925,
22926,
22927,
22928,
22929,
22930,
22932,
22933,
22934,
22935,
22936,
229369,
22949,
22950,
22951,
22952,
229524,
22955,
22956,
22957,
22958,
22959,
22960,
22962,
22963,
22965,
22966,
22967,
22968,
22969,
22971,
22972,
22974,
22975,
22977,
229788,
22979,
229791,Cord Hung
22980,
22987,
22991,
22992,
22999,
230004,Chain Hung
230078,Chain Hung
23013,
23014,
23015,
23016,
23017,
23018,
23019,
23020,
23021,
23022,
230247,
23026,
23028,
23031,
23048,
23049,
23050,
23051,
23052,
230557,
23058,
23059,
230593,
23061,
23062,
23063,
23064,
23065,
23066,
23067,
23068,
23069,
23070,
230702,
23071,
230712,Stem Hung
230713,Chain Hung
23072,
23073,
23074,
230751,
230823,
23090,
23091,
230936,
23095,
23096,
230986,
231043,
23106,
23107,
23108,
231087,
231244,
23126,
23127,
23129,
23130,
23131,
23132,
23133,
23135,
231468,
23149,
23151,
23153,
23154,
23157,
23158,
23160,
23164,
23165,
23166,
23167,
23168,
23169,
23171,
23173,
231768,
23182,
23183,
23186,
23187,
231878,
23188,
23189,
23190,
23191,
23192,
23195,
23196,
23197,
23200,
23201,
23206,
23207,
232077,
23208,
23209,
232099,
23210,
23211,
23212,
23213,
23216,
23217,
23218,
232325,Chain Hung
232334,
232370,
232372,
232376,
232407,
232525,
23261,
23262,
23263,
232632,
232638,
23264,
23266,
23267,
23269,
23272,
23275,
23276,
23278,
23279,
23291,
23292,
23310,
23311,
23312,
233238,
23339,
233636,
234200,
234231,
234355,
234509,
234510,
234511,
234512,
234932,
235059,
235131,
235165,
235171,Chain Hung
235172,
235174,
235191,Stem Hung
235516,
235585,
235613,Stem Hung
235691,
235694,
235848,Chain Hung
235998,
236063,
236215,
236228,
236230,
236231,
236301,
236343,
236347,
236349,
236356,
236363,
236364,
236367,
236590,
236627,
236630,
236631,
236632,
236634,
236638,
236643,
236649,
236650,
236653,
236655,
236656,
236658,
236668,
236669,
236672,
236675,
236676,
236710,
236713,
236714,
236715,
236716,
236720,
236721,
236723,
236725,
236726,
236799,
236800,
236808,
237097,
238099,
238138,
238298,
238877,
238878,
239674,
239998,
240031,
240717,
240761,
241284,
241957,
242193,
242242,Cord Hung
242622,
242907,
243391,Chain Hung
243449,
243450,
243455,
243458,
243546,
243813,
244228,
244281,
244530,
244657,Chain Hung
244939,Chain Hung
244940,Chain Hung
244942,
244943,Chain Hung
244944,Chain Hung
244945,
244946,
244947,
245062,Stem Hung
245128,Chain Hung
245129,Chain Hung
245130,Stem Hung
245131,
245848,
245849,
245852,
245853,
245855,
245857,
245903,Stem Hung
246011,Chain Hung
246270,
246413,
246423,
246426,
246477,
246478,
246482,
246496,
246497,
246508,
246777,
246796,
246797,
246800,
246801,Chain Hung
246837,
246839,
246840,
246841,Chain Hung
246844,
246904,
246979,
247010,
247045,
247322,
247418,
247428,Chain Hung
247435,
247439,
247442,
247447,
247451,
247458,
247463,
247467,
247470,
247472,
