ProductID,class_id
100009,1
10272,2
10350,3
10468,2
11149,4
1225,5
1229,5
1233,5
1286,5
13254,6
1434,5
1486,5
1504,5
15084,7
15092,7
1519,5
15200,7
15219,7
15238,7
15278,7
15281,7
1531,5
15367,7
15509,8
15518,8
15525,8
15698,5
15702,5
15732,5
15744,5
1584,6
18563,9
19203,1
19277,9
19323,10
19346,1
19364,9
19559,1
19562,1
19573,9
19575,1
19613,9
19729,1
19846,1
19850,9
19852,6
19856,9
19862,6
19864,1
19939,1
200096,5
200124,6
20024,5
200283,5
200588,5
200885,5
20118,1
201248,4
20137,11
201586,1
20184,11
20197,11
20219,11
20236,1
20294,11
20315,11
20317,11
203276,5
20335,11
203858,9
20387,9
20407,9
20412,5
20414,9
20434,1
204384,1
20448,1
20455,1
20465,1
20469,1
20473,9
20477,1
20487,9
20492,1
20495,10
20497,9
20500,9
20523,2
206014,5
206253,1
206742,1
20780,8
20806,1
20808,9
20817,9
20821,8
20824,1
20849,8
20855,1
20872,8
209003,1
20965,1
210208,12
210503,6
210772,9
211297,9
211501,7
211625,8
213502,5
213508,5
21351,1
21361,1
214144,6
214984,1
215195,7
215387,3
215793,1
215794,1
215879,8
216629,1
216821,9
217424,1
217769,1
217792,1
218898,1
219205,1
219207,1
219211,1
219216,1
220874,9
222919,1
223989,5
226013,9
226324,9
226773,1
227074,9
22710,3
22713,3
228540,9
229524,9
230247,4
23031,6
230593,9
23067,1
23068,1
23071,5
230712,5
230713,5
23072,5
230751,5
230823,7
23090,5
231244,1
23160,6
23164,6
23167,1
23168,6
23171,1
232407,1
233238,9
234200,5
234231,5
234355,6
234932,1
235059,9
235171,3
235172,13
236710,5
238099,1
238298,9
240031,8
241284,4
241957,7
242622,5
243449,1
243813,5
244228,8
244281,2
245903,1
246478,1
246482,1
246497,1
246844,3
246904,3
247045,5
247418,3
247919,1
247921,1
248353,9
250639,1
250881,1
251386,3
251706,14
252159,1
252687,1
252789,1
252794,1
253840,1
254164,14
254580,1
255103,7
255105,7
255111,8
255424,2
255526,6
255552,5
256074,1
256082,1
256403,14
257981,8
258208,15
258458,2
258715,11
258716,2
258728,2
258760,5
259516,3
259876,14
260737,5
261582,9
262155,14
262182,14
262187,14
262190,14
263011,4
263022,4
263084,4
263126,1
263543,8
263544,8
263545,8
263546,8
263627,2
263676,3
263789,1
264231,5
265206,3
269392,5
269492,1
269735,5
270438,1
271288,9
272466,5
272479,5
272486,5
272491,5
272562,5
272595,5
272596,5
272597,5
272598,5
272599,5
272613,5
272615,5
274418,5
274421,5
274423,5
274436,5
274824,3
276858,1
277754,3
277768,3
278048,9
278130,3
278137,3
278160,3
278161,3
278185,3
278353,3
278681,3
278694,3
278696,16
278707,16
278743,9
278851,1
278895,3
279640,1
279678,9
279687,1
280026,9
280730,3
281002,3
281008,3
282002,1
282310,1
283043,9
283584,3
284209,3
284265,1
284358,1
284362,1
284363,1
284531,1
284612,1
284907,12
285749,1
285827,1
285833,9
285835,9
285837,9
285866,1
285869,5
285873,9
285874,9
286472,9
286849,9
286886,6
288552,1
288624,9
288796,1
288810,1
288991,16
289028,1
289479,1
290015,1
291396,1
292550,1
297956,17
297963,9
298456,3
298631,1
298883,2
298884,3
299457,2
299467,2
299512,2
302112,3
302482,3
305223,1
307827,5
307900,3
307937,3
307991,1
308071,3
308570,8
312408,1
312410,1
312437,9
312438,9
312439,9
312440,9
315962,8
317042,1
317286,9
318375,9
318824,9
318854,3
318855,3
318857,3
319840,9
322824,9
323093,5
323094,5
323101,5
323104,5
323107,5
323117,8
323154,1
323454,9
323472,3
323548,1
323947,3
324036,13
325567,5
325568,5
326095,3
326202,13
327938,9
328129,9
328138,5
328898,3
328905,3
330046,9
330047,9
